state,district,crop,year,season,area,production,yield
Andaman and Nicobar Island,Nicobars,Coconut,2007,Whole Year,21636,80640000,3727.12
Andaman and Nicobar Island,Nicobars,Coconut,2008,Whole Year,43380,81900000,1887.97
Andaman and Nicobar Island,Nicobars,Coconut,2009,Whole Year,43520,84970000,1952.44
Andaman and Nicobar Island,Nicobars,Coconut,2000,Whole Year,18168,65100000,3583.22
Andaman and Nicobar Island,Nicobars,Coconut,2001,Whole Year,18190,64430000,3542.06
Andaman and Nicobar Island,Nicobars,Coconut,2002,Whole Year,18240,67490000,3700.11
Andaman and Nicobar Island,Nicobars,Coconut,2003,Whole Year,18284.74,68580000,3750.67
Andaman and Nicobar Island,Nicobars,Coconut,2004,Whole Year,18394.7,52380000,2847.56
Andaman and Nicobar Island,Nicobars,Coconut,2005,Whole Year,13876.57,52030000,3749.49
Andaman and Nicobar Island,Nicobars,Coconut,2006,Whole Year,14358,59370000,4134.98
Andaman and Nicobar Island,Nicobars,Coconut,2010,Whole Year,14560,71300000,4896.98
Andaman and Nicobar Island,Nicobars,Coconut,2011,Whole Year,14590,69700000,4777.24
Andaman and Nicobar Island,Nicobars,Coconut,2012,Whole Year,14650,89800000,6129.69
Andaman and Nicobar Island,Nicobars,Coconut,2013,Whole Year,14655,96200000,6564.31
Andaman and Nicobar Island,Nicobars,Coconut,2014,Whole Year,14673,95300000,6494.92
Andaman and Nicobar Island,Nicobars,Coconut,2015,Whole Year,14676,94500000,6439.08
Andaman and Nicobar Island,Nicobars,Coconut,2016,Whole Year,14840,96200000,6482.48
Andaman and Nicobar Island,Nicobars,Coconut,2017,Whole Year,13695,98130000,7165.39
Andaman and Nicobar Island,Nicobars,Coconut,2018,Whole Year,13728,70360000,5125.29
Andaman and Nicobar Island,Nicobars,Coconut,2019,Whole Year,15728,89060000,5662.51
Andaman and Nicobar Island,North And Middle Andaman,Coconut,2000,Whole Year,6992,23900000,3418.19
Andaman and Nicobar Island,North And Middle Andaman,Coconut,2001,Whole Year,7015,25250000,3599.43
Andaman and Nicobar Island,North And Middle Andaman,Coconut,2006,Whole Year,3575,15400000,4307.69
Andaman and Nicobar Island,North And Middle Andaman,Coconut,2010,Whole Year,3668,12700000,3462.38
Andaman and Nicobar Island,North And Middle Andaman,Coconut,2011,Whole Year,3668,15600000,4253
Andaman and Nicobar Island,North And Middle Andaman,Coconut,2012,Whole Year,3675,17800000,4843.54
Andaman and Nicobar Island,North And Middle Andaman,Coconut,2013,Whole Year,3685,16800000,4559.02
Andaman and Nicobar Island,North And Middle Andaman,Coconut,2014,Whole Year,3675,17400000,4734.69
Andaman and Nicobar Island,North And Middle Andaman,Coconut,2015,Whole Year,3675,19500000,5306.12
Andaman and Nicobar Island,North And Middle Andaman,Coconut,2016,Whole Year,3675,20000000,5442.18
Andaman and Nicobar Island,North And Middle Andaman,Coconut,2017,Whole Year,1347.3,10090000,7489.05
Andaman and Nicobar Island,North And Middle Andaman,Coconut,2018,Whole Year,1525.63,9490000,6220.38
Andaman and Nicobar Island,North And Middle Andaman,Coconut,2019,Whole Year,1532.48,7610000,4965.81
Andaman and Nicobar Island,South Andamans,Coconut,2002,Whole Year,7060,26830000,3800.28
Andaman and Nicobar Island,South Andamans,Coconut,2003,Whole Year,7110,26660000,3749.65
Andaman and Nicobar Island,South Andamans,Coconut,2004,Whole Year,7156.7,34750000,4855.59
Andaman and Nicobar Island,South Andamans,Coconut,2005,Whole Year,7050.45,26430000,3748.7
Andaman and Nicobar Island,South Andamans,Coconut,2006,Whole Year,3483.09,14190000,4073.97
Andaman and Nicobar Island,South Andamans,Coconut,2010,Whole Year,3540,11000000,3107.34
Andaman and Nicobar Island,South Andamans,Coconut,2011,Whole Year,3542,19700000,5561.83
Andaman and Nicobar Island,South Andamans,Coconut,2012,Whole Year,3550,17500000,4929.58
Andaman and Nicobar Island,South Andamans,Coconut,2013,Whole Year,3560,16000000,4494.38
Andaman and Nicobar Island,South Andamans,Coconut,2014,Whole Year,3562,17100000,4800.67
Andaman and Nicobar Island,South Andamans,Coconut,2015,Whole Year,3564,17600000,4938.27
Andaman and Nicobar Island,South Andamans,Coconut,2016,Whole Year,3564,16800000,4713.8
Andaman and Nicobar Island,South Andamans,Coconut,2017,Whole Year,1232.5,16560000,13436.11
Andaman and Nicobar Island,South Andamans,Coconut,2018,Whole Year,2895,16330000,5640.76
Andaman and Nicobar Island,South Andamans,Coconut,2019,Whole Year,2810,15880000,5651.25
Andhra Pradesh,Anantapur,Coconut,2000,Whole Year,908,3896970,4291.82
Andhra Pradesh,Anantapur,Coconut,2001,Whole Year,851,3053700,3588.37
Andhra Pradesh,Anantapur,Coconut,2002,Whole Year,869,3691149,4247.58
Andhra Pradesh,Anantapur,Coconut,2003,Whole Year,839,3285828,3916.36
Andhra Pradesh,Anantapur,Coconut,2004,Whole Year,837,6413350,7662.31
Andhra Pradesh,Anantapur,Coconut,2005,Whole Year,836,3358992,4017.93
Andhra Pradesh,Anantapur,Coconut,2006,Whole Year,790,6404076,8106.43
Andhra Pradesh,Anantapur,Coconut,2008,Whole Year,786,7141464,9085.83
